experimentName	iterationName	gameid	time	role	round_num	type	config	duration	eventType
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991125628	explorer	0	beakerquestion	100	0.746	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991125647	explorer	0	beakerquestion	101	0.498	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991125649	explorer	0	beakerquestion	110	0.083	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991125651	explorer	0	beakerquestion	111	0.083	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991125652	explorer	0	beakerquestion	001	0.082	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991125653	explorer	0	beakerquestion	010	0.082	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991125655	explorer	0	beakerquestion	011	0.083	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991125656	explorer	0	reactionquestion	110	0.083	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991125657	explorer	0	reactionquestion	000	0.083	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991125658	explorer	0	reactionquestion	001	0.08	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991125659	explorer	0	reactionquestion	010	0.083	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991125661	explorer	0	reactionquestion	1xx	0.082	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991125662	explorer	0	reactionquestion	x1x	0.083	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991125663	explorer	0	reactionquestion	xx0	0.082	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991125664	explorer	0	reactionquestion	xx1	0.083	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991125664	explorer	0	reactionquestion	11x	0.082	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991125665	explorer	0	reactionquestion	x10	0.082	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991125667	explorer	0	reactionquestion	x01	0.083	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991125668	explorer	0	reactionquestion	0x1	0.081	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991125668	explorer	0	test	111	0.501	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991125670	explorer	0	test	100	0.442	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991125671	explorer	0	test	010	0.396	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991125672	explorer	0	test	001	0.451	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991140091	student	0	beakerquestion	100	1.409	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991140094	student	0	beakerquestion	101	0.497	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991140096	student	0	beakerquestion	110	0.082	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991140097	student	0	beakerquestion	111	0.081	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991140098	student	0	beakerquestion	001	0.085	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991140099	student	0	beakerquestion	010	0.081	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991140100	student	0	beakerquestion	011	0.082	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991140102	student	0	reactionquestion	110	0.082	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991140104	student	0	reactionquestion	000	0.082	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991140105	student	0	reactionquestion	001	0.082	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991140106	student	0	reactionquestion	010	0.081	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991140107	student	0	reactionquestion	1xx	0.083	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991140109	student	0	reactionquestion	x1x	0.082	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991140110	student	0	reactionquestion	xx0	0.083	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991140111	student	0	reactionquestion	xx1	0.081	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991140111	student	0	reactionquestion	11x	0.082	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991140112	student	0	reactionquestion	x10	0.083	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991140113	student	0	reactionquestion	x01	0.082	logTimes
mp-game-6	pilot	4247-03c5e90b-8776-4861-add3-8f2b57108872	1563991140114	student	0	reactionquestion	0x1	0.083	logTimes
